Epochs: 179     |Loss: 1.7653682680559215       |Train Acc: 0.5127832609553888  |Val Acc: 0.19111111111111112   |Time: 233.3859599600546
Epochs: 180     |Loss: 1.7537313173431865       |Train Acc: 0.5158152388472167  |Val Acc: 0.1688888888888889    |Time: 234.92848069500178
Epochs: 181     |Loss: 1.7437259389871296       |Train Acc: 0.5170311883142519  |Val Acc: 0.18888888888888888   |Time: 226.57362509705126
Epochs: 182     |Loss: 1.7164947460180584       |Train Acc: 0.5273430714567706  |Val Acc: 0.18  |Time: 227.59214004687965
Epochs: 183     |Loss: 1.6940620224983194       |Train Acc: 0.5312120015791552  |Val Acc: 0.17333333333333334   |Time: 237.46318109706044
Epochs: 184     |Loss: 1.666317653686126        |Train Acc: 0.5398657718120805  |Val Acc: 0.18666666666666668   |Time: 229.9953665160574
Epochs: 185     |Loss: 1.6643762227399896       |Train Acc: 0.5386814054480853  |Val Acc: 0.16666666666666666   |Time: 225.95656026015058
Epochs: 186     |Loss: 1.631987193448714        |Train Acc: 0.5499249901302803  |Val Acc: 0.1622222222222222        |Time: 241.66062205005437
Epochs: 187     |Loss: 1.6172319362458154       |Train Acc: 0.5533675483616265  |Val Acc: 0.18888888888888888       |Time: 230.00551835098304
Epochs: 188     |Loss: 1.5761576741173764       |Train Acc: 0.5661113304382156  |Val Acc: 0.17555555555555555       |Time: 229.89175693993457
Epochs: 189     |Loss: 1.572228050960461        |Train Acc: 0.5634109751283064  |Val Acc: 0.17777777777777778       |Time: 229.77367250388488
Epochs: 190     |Loss: 1.5683569830601929       |Train Acc: 0.5631109356494276  |Val Acc: 0.1711111111111111        |Time: 230.6247615199536
Epochs: 191     |Loss: 1.5271646878279765       |Train Acc: 0.578002368732728   |Val Acc: 0.1511111111111111        |Time: 228.9565132430289
Epochs: 192     |Loss: 1.5155986004481898       |Train Acc: 0.5765811290959337  |Val Acc: 0.1711111111111111        |Time: 230.6339122618083
Epochs: 193     |Loss: 1.4933028420524732       |Train Acc: 0.586498223450454   |Val Acc: 0.14666666666666667       |Time: 232.35713667492382
Epochs: 194     |Loss: 1.4772719089155653       |Train Acc: 0.5902250296091591  |Val Acc: 0.15333333333333332       |Time: 226.07800919702277
Epochs: 195     |Loss: 1.4452012580814355       |Train Acc: 0.6012949072246349  |Val Acc: 0.16444444444444445       |Time: 224.51980050187558
Epochs: 196     |Loss: 1.4564411608371817       |Train Acc: 0.5943624161073825  |Val Acc: 0.16444444444444445       |Time: 226.76137665496208
Epochs: 197     |Loss: 1.3987835939609152       |Train Acc: 0.6141176470588235  |Val Acc: 0.1622222222222222        |Time: 234.56064385804348
Epochs: 198     |Loss: 1.4080123670704507       |Train Acc: 0.6066324516383734  |Val Acc: 0.17777777777777778       |Time: 235.1905265741516
Epochs: 199     |Loss: 1.3873857984362126       |Train Acc: 0.614733517568101   |Val Acc: 0.1688888888888889        |Time: 242.31638028216548
Best validation accuracy: 0.1688888888888889
200 200 200
/home/h24074085/miniconda3/envs/FND/lib/python3.8/site-packages/seaborn/_decorators.py:36: FutureWarning: Pass the following variables as keyword args: x, y. From version 0.12, the only valid positional argument will be `data`, and passing other arguments without an explicit keyword will result in an error or misinterpretation.
  warnings.warn(
